26,Milk,"Milk, dry, reconstituted, fat free (skim)",4.6,0.0,3.2,2.4,4.6,0.037,91.34,0.018,0.003,0.044,0.07,114,0.013,0.03,11,86,159,51,0.37,1,0.36,0.032,0.6,0.0,0.0
27,Milk,"Milk, evaporated, NS as to fat content",10.04,0.0,6.81,2.3,10.04,0.047,74.04,2.335,0.245,4.591,7.56,261,0.016,0.19,24,203,303,106,0.77,65,0.16,0.05,1.9,0.14,0.5
28,Milk,"Milk, evaporated, whole",10.04,0.0,6.81,2.3,10.04,0.047,74.04,2.335,0.245,4.591,7.56,261,0.016,0.19,24,203,303,106,0.77,65,0.16,0.05,1.9,0.14,0.5
29,Milk,"Milk, evaporated, reduced fat (2%)",11.15,0.0,7.42,2.5,11.15,0.044,78.0,0.569,0.071,1.214,1.96,285,0.016,0.28,27,192,326,113,0.88,131,0.24,0.054,1.2,0.05,0.2
30,Milk,"Milk, evaporated, fat free (skim)",11.35,0.0,7.55,2.5,11.35,0.045,79.4,0.062,0.006,0.121,0.2,290,0.016,0.29,27,195,332,115,0.9,118,0.24,0.055,1.2,0.0,0.0
31,Milk,"Milk, condensed, sweetened",54.4,0.0,7.91,14.8,54.4,0.09,27.16,2.427,0.337,5.486,8.7,284,0.015,0.19,26,253,371,127,0.94,74,0.44,0.051,2.6,0.16,0.6
32,Non-dairy milk,"Non-dairy milk, NFS",3.75,0.2,01.04,0.8,03.03,0.009,93.33,0.485,0.408,0.237,1.17,164,0.062,0.32,8,19,80,60,0.12,77,0.29,0.009,0.0,1.8,0.9
33,Soy milk,Soy milk,4.92,0.2,2.6,2.3,3.65,0.029,90.36,0.382,0.858,0.205,1.47,123,0.165,0.42,15,43,122,47,0.26,55,0.85,0.031,0.0,0.11,3.0
34,Soy milk,"Soy milk, light",3.51,0.3,2.38,2.3,2.61,0.037,92.69,0.202,0.426,0.005,0.77,123,0.086,0.43,15,87,117,48,0.23,61,1.0,0.016,0.0,0.06,1.6
35,Soy milk,"Soy milk, nonfat",4.14,0.2,2.47,1.8,3.65,0.022,92.67,0.0,0.036,0.0,0.04,116,0.125,0.35,10,87,105,57,0.1,61,0.23,0.024,0.0,0.08,2.3
36,Soy milk,"Soy milk, chocolate",9.95,0.4,2.26,4.8,7.86,0.022,85.61,0.379,0.836,0.24,1.53,126,0.206,0.48,15,51,143,53,0.34,70,0.7,0.077,1.7,0.11,3.0
37,Soy milk,"Soy milk, light, chocolate",8.24,0.7,2.1,1.7,7.13,0.037,88.38,0.037,0.405,0.032,0.64,123,0.199,0.59,15,87,144,46,0.23,61,1.0,0.037,0.0,0.13,3.6
38,Soy milk,"Soy milk, nonfat, chocolate",8.24,0.7,2.1,1.7,7.13,0.037,88.38,0.037,0.405,0.032,0.64,123,0.199,0.59,15,87,144,46,0.23,61,1.0,0.037,0.0,0.13,3.6
39,Almond milk,"Almond milk, sweetened",5.24,0.2,0.38,0.1,4.77,0.0,92.68,0.566,0.23,0.077,0.93,177,0.019,0.27,6,9,64,69,0.06,86,0.0,0.0,0.0,2.7,0.0
40,Almond milk,"Almond milk, sweetened, chocolate",8.34,0.3,0.43,0.2,7.72,0.0,89.52,0.561,0.224,0.098,0.95,171,0.03,0.3,7,11,67,67,0.08,83,0.0,0.0,0.0,2.61,0.0
41,Almond milk,"Almond milk, unsweetened",1.31,0.2,0.4,0.1,0.81,0.0,96.54,0.59,0.24,0.08,0.96,184,0.02,0.28,6,9,67,72,0.06,90,0.0,0.0,0.0,2.81,0.0
42,Almond milk,"Almond milk, unsweetened, chocolate",1.48,0.3,0.46,0.1,0.81,0.0,96.26,0.602,0.241,0.104,1.0,184,0.031,0.32,7,11,71,72,0.08,90,0.0,0.0,0.0,2.8,0.0
43,Rice milk,Rice milk,9.17,0.3,0.28,2.2,5.28,0.027,89.28,0.625,0.313,0.0,0.97,118,0.037,0.2,11,56,27,39,0.13,63,0.63,0.039,0.0,0.47,0.2
44,Coconut milk,Coconut milk,2.92,0.0,0.21,0.0,2.5,0.0,94.57,0.0,0.0,2.083,02.08,188,0.0,0.3,0,0,19,19,0.0,63,0.63,0.0,0.0,0.0,0.0
45,Yogurt,"Yogurt, NFS",07.04,0.0,5.25,3.3,07.04,0.044,85.06,0.426,0.044,1.0,1.55,183,0.013,0.08,17,144,234,70,0.89,14,0.56,0.049,0.8,0.03,0.2
46,Yogurt,"Yogurt, Greek, NS as to type of milk or flavor",3.94,0.0,9.95,12.4,3.56,0.044,83.56,0.486,0.076,1.23,1.92,115,0.021,0.04,11,137,141,34,0.6,90,0.52,0.055,0.8,0.04,0.2
47,Yogurt,"Yogurt, NS as to type of milk or flavor",07.04,0.0,5.25,3.3,07.04,0.044,85.06,0.426,0.044,1.0,1.55,183,0.013,0.08,17,144,234,70,0.89,14,0.56,0.049,0.8,0.03,0.2
48,Yogurt,"Yogurt, NS as to type of milk, plain",07.04,0.0,5.25,3.3,07.04,0.044,85.06,0.426,0.044,1.0,1.55,183,0.013,0.08,17,144,234,70,0.89,14,0.56,0.049,0.8,0.03,0.2
49,Yogurt,"Yogurt, whole milk, plain",4.66,0.0,3.47,2.2,4.66,0.029,87.89,0.893,0.092,2.096,3.25,121,0.009,0.05,12,95,155,46,0.59,27,0.37,0.032,0.5,0.06,0.2
50,Yogurt,"Yogurt, low fat milk, plain",07.04,0.0,5.25,3.3,07.04,0.044,85.06,0.426,0.044,1.0,1.55,183,0.013,0.08,17,144,234,70,0.89,14,0.56,0.049,0.8,0.03,0.2
51,Yogurt,"Yogurt, nonfat milk, plain",7.68,0.0,5.73,3.6,7.68,0.048,85.22,0.049,0.005,0.116,0.18,199,0.015,0.09,19,157,255,77,0.97,2,0.61,0.053,0.9,0.0,0.2
52,Yogurt,"Yogurt, Greek, NS as to type of milk, plain",3.94,0.0,9.95,12.4,3.56,0.044,83.56,0.486,0.076,1.23,1.92,115,0.021,0.04,11,137,141,34,0.6,90,0.52,0.055,0.8,0.04,0.2
53,Yogurt,"Yogurt, Greek, whole milk, plain",3.98,0.0,9.0,9.7,4.0,0.023,81.3,2.136,0.469,2.395,5.0,100,0.017,0.0,11,135,141,35,0.52,2,0.75,0.063,0.0,0.01,0.0
54,Yogurt,"Yogurt, Greek, low fat milk, plain",3.94,0.0,9.95,12.4,3.56,0.044,83.56,0.486,0.076,1.23,1.92,115,0.021,0.04,11,137,141,34,0.6,90,0.52,0.055,0.8,0.04,0.2
55,Yogurt,"Yogurt, Greek, nonfat milk, plain",3.64,0.0,10.3,9.9,3.27,0.022,85.0,0.043,0.011,0.108,0.37,111,0.017,0.07,11,136,141,36,0.53,1,0.7,0.064,0.0,0.01,0.0
56,Yogurt,"Yogurt, NS as to type of milk, fruit",14.46,0.1,4.66,3.1,12.01,0.041,78.51,0.379,0.039,0.881,1.37,163,0.023,0.13,15,129,215,65,0.79,12,0.49,0.046,1.8,0.04,0.2
57,Yogurt,"Yogurt, whole milk, fruit",12.36,0.1,3.1,2.2,9.92,0.027,81.0,0.79,0.081,1.845,2.87,109,0.02,0.1,11,86,146,44,0.53,24,0.33,0.031,1.5,0.07,0.2
58,Yogurt,"Yogurt, low fat milk, fruit",14.46,0.1,4.66,3.1,12.01,0.041,78.51,0.379,0.039,0.881,1.37,163,0.023,0.13,15,129,215,65,0.79,12,0.49,0.046,1.8,0.04,0.2
59,Yogurt,"Yogurt, nonfat milk, fruit",15.02,0.1,05.09,3.4,12.58,0.044,78.65,0.048,0.004,0.103,0.17,177,0.025,0.14,17,140,234,72,0.86,2,0.54,0.049,1.8,0.01,0.2
60,Yogurt,"Yogurt, Greek, NS as to type of milk, fruit",12.29,1.0,8.17,9.6,11.23,0.037,76.41,0.65,0.113,1.599,2.57,88,0.019,0.07,10,109,129,33,0.41,31,0.5,0.049,0.7,0.02,0.0
61,Yogurt,"Yogurt, Greek, whole milk, fruit",12.29,0.0,7.33,9.6,12.0,0.046,76.81,1.265,0.219,1.599,3.0,100,0.019,0.0,10,109,113,37,0.41,46,0.5,0.049,0.0,0.07,0.3
62,Yogurt,"Yogurt, Greek, low fat milk, fruit",12.29,1.0,8.17,9.6,11.23,0.037,76.41,0.65,0.113,1.599,2.57,88,0.019,0.07,10,109,129,33,0.41,31,0.5,0.049,0.7,0.02,0.0
63,Yogurt,"Yogurt, Greek, nonfat milk, fruit",12.2,0.6,08.06,9.8,11.5,0.037,79.0,0.029,0.021,0.103,0.15,97,0.02,0.09,10,113,133,32,0.46,0,0.45,0.05,0.2,0.02,0.0
